order_id,customer_name,product,amount,date,year,month
1001,Bob,Mouse,33701.165,2021-04-13,2021,4
1002,Alice,Monitor,33701.165,2021-12-15,2021,12
1003,Eve,Keyboard,33701.165,2021-09-28,2021,9
1004,David,Laptop,33701.165,2021-09-28,2021,9
1005,David,Phone,33701.165,2021-04-17,2021,4
1006,Charlie,Keyboard,33701.165,2021-03-13,2021,3
1007,Bob,Mouse,33701.165,2021-03-13,2021,3
1008,Ivy,Laptop,33701.165,2021-08-07,2021,8
1009,Bob,Keyboard,33701.165,2021-08-07,2021,8
1010,Jack,Laptop,26691.16,2021-08-07,2021,8
1011,Grace,Charger,33701.165,2021-01-21,2021,1
1012,Alice,Mouse,33701.165,2021-04-13,2021,4
1013,Alice,Webcam,34244.66,2021-05-02,2021,5
1014,Bob,Monitor,37668.45,2021-05-02,2021,5
1015,David,Headphones,33701.165,2021-08-03,2021,8
1016,David,Monitor,33701.165,2021-08-03,2021,8
1017,Ivy,Monitor,660.64,2021-08-03,2021,8
1018,Jack,Keyboard,33701.165,2021-08-03,2021,8
1019,Alice,Mouse,33701.165,2021-11-27,2021,11
1020,Ivy,Laptop,33701.165,2021-03-29,2021,3
1021,David,Headphones,33701.165,2021-04-10,2021,4
1022,Ivy,Tablet,42162.63,2021-04-10,2021,4
1023,Grace,Keyboard,33701.165,2021-12-26,2021,12
1024,David,Headphones,33701.165,2021-06-01,2021,6
1025,Helen,Webcam,27199.26,2021-11-05,2021,11
1026,Jack,Charger,45965.43,2021-05-30,2021,5
1027,Eve,Mouse,33701.165,2021-05-11,2021,5
1028,Alice,Tablet,33701.165,2021-05-11,2021,5
1029,Charlie,Keyboard,33701.165,2021-09-15,2021,9
1030,Grace,Monitor,33701.165,2021-09-15,2021,9
1031,Frank,Phone,33701.165,2021-10-12,2021,10
1032,Eve,Keyboard,33701.165,2021-10-21,2021,10
1033,Charlie,Phone,40893.15,2021-10-21,2021,10
1034,David,Monitor,33701.165,2021-11-07,2021,11
1035,Frank,Charger,33157.67,2021-10-04,2021,10
1036,Bob,Mouse,8673.78,2021-10-04,2021,10
1037,Bob,Laptop,33701.165,2021-06-10,2021,6
1038,Grace,Keyboard,48235.96,2021-11-10,2021,11
1039,Bob,Monitor,37885.63,2021-01-22,2021,1
1040,Frank,Keyboard,33701.165,2021-09-10,2021,9
1041,Frank,Webcam,20250.12,2021-08-24,2021,8
1042,Jack,Charger,33701.165,2021-11-12,2021,11
1043,Eve,Webcam,33701.165,2021-11-12,2021,11
1044,Alice,Headphones,33701.165,2021-11-12,2021,11
1045,Helen,Mouse,33701.165,2021-11-12,2021,11
1046,Ivy,Headphones,33701.165,2021-02-18,2021,2
1047,Bob,Keyboard,33701.165,2021-02-18,2021,2
1048,Grace,Tablet,4014.16,2021-02-28,2021,2
1049,Bob,Tablet,33701.165,2021-06-19,2021,6
1050,Ivy,Mouse,33701.165,2021-06-19,2021,6
